year,topic,year_next,d_lang,topic_desc,topic_description,n_papers,d_field,d_nearest_neighbor
2014,46,2015,0.9323608666456186,B.12,B.12 Glial Mechanisms,189,0.977493505087064,0.9790831337172738
2015,46,2016,0.9261589421642088,B.12,B.12 Glial Mechanisms,189,0.9705488532361328,0.9781343846167456
2016,46,2017,0.9303956566958128,B.12,B.12 Glial Mechanisms,189,0.9731610643952788,0.9771714824174542
2013,49,2014,0.9330537471321364,A.02,A.02 Postnatal Neurogenesis,67,0.9768691374355776,0.97714226909112
2014,49,2015,0.9391857933506262,A.02,A.02 Postnatal Neurogenesis,67,0.9673761601703944,0.9762252070597038
2015,49,2016,0.938523870638088,A.02,A.02 Postnatal Neurogenesis,67,0.9737380634946018,0.9783284652267747
2016,49,2017,0.9416205715819649,A.02,A.02 Postnatal Neurogenesis,67,0.9775414023922376,0.9777684982650382
2013,50,2014,0.9583923859214951,A.01,A.01 Neurogenesis and Gliogenesis,151,0.9777194104096556,0.9783195868673159
2014,50,2015,0.9612584812528736,A.01,A.01 Neurogenesis and Gliogenesis,151,0.9771225159329896,0.978568303540468
2015,50,2016,0.9640800935591897,A.01,A.01 Neurogenesis and Gliogenesis,151,0.9769396597169492,0.9770930557356374
2016,50,2017,0.9635805897054638,A.01,A.01 Neurogenesis and Gliogenesis,151,0.9749452613233441,0.9760324322656502
2013,51,2014,0.9254177639783332,A.03,A.03 Stem Cells and Reprogramming,53,0.9722805031788108,0.9734285089542504
2014,51,2015,0.9333275750692955,A.03,A.03 Stem Cells and Reprogramming,53,0.9765445667331702,0.9769764580899654
2015,51,2016,0.9321962697724033,A.03,A.03 Stem Cells and Reprogramming,53,0.9768131764543196,0.979609402515866
2016,51,2017,0.9403250605402327,A.03,A.03 Stem Cells and Reprogramming,53,0.9774509412199508,0.9784802340371545
2013,52,2014,0.9181773568573063,B.13,B.13 Demyelinating Disorders,40,0.9575682758498162,0.9746217710769124
2014,52,2015,0.9233136506355832,B.13,B.13 Demyelinating Disorders,40,0.9657161819478962,0.976900767751396
2015,52,2016,0.9266634789555535,B.13,B.13 Demyelinating Disorders,40,0.9617915831769712,0.9765346332671726
2016,52,2017,0.92576823882525,B.13,B.13 Demyelinating Disorders,40,0.964204150582555,0.9750267202711298
2013,68,2014,0.9506958346363064,A.10,A.10 Development and Evolution,35,0.9396334019258112,0.9724370070514194
2014,68,2015,0.9571265722645954,A.10,A.10 Development and Evolution,35,0.956631364183928,0.9791170424317082
2015,68,2016,0.9575307261173708,A.10,A.10 Development and Evolution,35,0.9620457580063044,0.9794660599116288
2016,68,2017,0.9648501007944676,A.10,A.10 Development and Evolution,35,0.9754644778421584,0.9793935550824252
2013,82,2014,0.9758834218299942,I.01,"I.01 Molecular, Biochemical, and Genetic Techniques",71,0.9732010678478018,0.9796846878841008
2014,82,2015,0.9746193367775684,I.01,"I.01 Molecular, Biochemical, and Genetic Techniques",71,0.9453721671986932,0.9787846613895772
2015,82,2016,0.9769350968151864,I.01,"I.01 Molecular, Biochemical, and Genetic Techniques",71,0.9695980170787571,0.9771445726715972
2016,82,2017,0.9739422840203198,I.01,"I.01 Molecular, Biochemical, and Genetic Techniques",71,0.9531261297672754,0.9784224613962006
2013,83,2014,0.9557722484761945,F.06,"F.06 Brain Blood Flow, Metabolism, and Homeostasis",93,0.9680036236738226,0.9761799353741372
2014,83,2015,0.9595013037998112,F.06,"F.06 Brain Blood Flow, Metabolism, and Homeostasis",93,0.9737044950163032,0.9757758530519476
2015,83,2016,0.9614525737214917,F.06,"F.06 Brain Blood Flow, Metabolism, and Homeostasis",93,0.9776223067452078,0.9807827614577566
2016,83,2017,0.9607463431220478,F.06,"F.06 Brain Blood Flow, Metabolism, and Homeostasis",93,0.9757008257292134,0.9784487766421904
2013,84,2014,0.9618306328883935,C.01,C.01 Brain Wellness and Aging,82,0.9732010678478018,0.9774644943325096
2014,84,2015,0.9569394679208444,C.01,C.01 Brain Wellness and Aging,82,0.9561948210650122,0.9762252070597038
2015,84,2016,0.9645841245605901,C.01,C.01 Brain Wellness and Aging,82,0.9728184959717552,0.979504255575636
2016,84,2017,0.9658017509115155,C.01,C.01 Brain Wellness and Aging,82,0.9771197149093349,0.9781903393195478
2013,92,2014,0.9520165152986467,E.07,E.07 Rhythmic Motor Pattern Generation,88,0.9770268530190794,0.9770768748742223
2014,92,2015,0.9470234665046251,E.07,E.07 Rhythmic Motor Pattern Generation,88,0.9640348546660326,0.9708007686484704
2015,92,2016,0.9439495596374983,E.07,E.07 Rhythmic Motor Pattern Generation,88,0.9752367152076512,0.9762021222828491
2016,92,2017,0.9488741745849992,E.07,E.07 Rhythmic Motor Pattern Generation,88,0.9764216806205296,0.9767063900527851
2013,94,2014,0.9563649039124872,D.04,D.04 Somatosensation: Touch,106,0.9730088924485356,0.9777343523826062
2014,94,2015,0.9598113537656993,D.04,D.04 Somatosensation: Touch,106,0.9752511371127894,0.9790080098036279
2015,94,2016,0.9580197981192817,D.04,D.04 Somatosensation: Touch,106,0.9725380617535458,0.9772138954922862
2016,94,2017,0.9496005805910673,D.04,D.04 Somatosensation: Touch,106,0.977990058353946,0.9781903393195478
2013,95,2014,0.948821912166125,B.10,B.10 Network Interactions,105,0.9722738088055326,0.9745643224739128
2014,95,2015,0.9546581878110046,B.10,B.10 Network Interactions,105,0.9757758530519476,0.9761448876430786
2015,95,2016,0.9477732421177635,B.10,B.10 Network Interactions,105,0.977066328775534,0.9799705328727712
2016,95,2017,0.9539199592502172,B.10,B.10 Network Interactions,105,0.976311272076726,0.9770468833122574
2013,96,2014,0.965957612343885,I.07,I.07 Data Analysis and Statistics,123,0.9667746988959964,0.9750700993330106
2014,96,2015,0.9667213061363261,I.07,I.07 Data Analysis and Statistics,123,0.9695996764405268,0.9699584961172596
2015,96,2016,0.9650429134255926,I.07,I.07 Data Analysis and Statistics,123,0.9779064234497188,0.9791116604070764
2016,96,2017,0.9636555465347649,I.07,I.07 Data Analysis and Statistics,123,0.975771084175121,0.9760726250925228
2013,97,2014,0.9609438091860388,I.06,"I.06 Computation, Modeling, and Simulation",166,0.9674743285351136,0.9754657783400268
2014,97,2015,0.9635768240360676,I.06,"I.06 Computation, Modeling, and Simulation",166,0.9664885882332388,0.9782924185797216
2015,97,2016,0.9648247819248736,I.06,"I.06 Computation, Modeling, and Simulation",166,0.9807353197711506,0.9807876924461392
2016,97,2017,0.9689201806515697,I.06,"I.06 Computation, Modeling, and Simulation",166,0.977787636350318,0.9780426343834484
2013,98,2014,0.9581120733723201,I.04,I.04 Physiological Methods,239,0.9765469405433858,0.9794138949308491
2014,98,2015,0.9549252368824611,I.04,I.04 Physiological Methods,239,0.970828264160578,0.9733668075066662
2015,98,2016,0.9614686907615491,I.04,I.04 Physiological Methods,239,0.975261294683348,0.9771104749748408
2016,98,2017,0.959565468980594,I.04,I.04 Physiological Methods,239,0.9733135409180372,0.9749452613233441
2013,99,2014,0.9660128786534311,I.03,I.03 Anatomical Methods,114,0.9650872448826798,0.9734285089542504
2014,99,2015,0.9617466586767225,I.03,I.03 Anatomical Methods,114,0.9733082979414874,0.9771110264209306
2015,99,2016,0.9537983964303051,I.03,I.03 Anatomical Methods,114,0.9632200415049116,0.9741147961300618
2016,99,2017,0.9532409904508791,I.03,I.03 Anatomical Methods,114,0.96718325349243,0.977551217787086
2013,100,2014,0.8813333413506415,D.08,D.08 Vestibular System,26,0.9721080115570494,0.978647965408631
2014,100,2015,0.8910489945308371,D.08,D.08 Vestibular System,26,0.9701560208261064,0.9788738619271574
2015,100,2016,0.8759994132709025,D.08,D.08 Vestibular System,26,0.9534975645056808,0.97726201284946
2016,100,2017,0.849692713870016,D.08,D.08 Vestibular System,26,0.9632833499136784,0.9764216806205296
2013,101,2014,0.9212618777471092,D.06,D.06 Audition,200,0.9771531691269624,0.9788822943135282
2014,101,2015,0.9176948165134338,D.06,D.06 Audition,200,0.9723183962227908,0.9730663747087559
2015,101,2016,0.9220830478306137,D.06,D.06 Audition,200,0.9790937115369364,0.9792543939717236
2016,101,2017,0.9138145609731948,D.06,D.06 Audition,200,0.9775414023922376,0.979174021033232
2013,102,2014,0.9175493147083545,F.01,F.01 Neuroethology,151,0.9699011352656928,0.9772094906481704
2014,102,2015,0.9259742064129841,F.01,F.01 Neuroethology,151,0.9748376282465644,0.9758545727537109
2015,102,2016,0.9255153581673751,F.01,F.01 Neuroethology,151,0.9564522723751988,0.9787287440260372
